"Year","District","Species","Hunters","T_harvest","Bucks","Does","Bow","Rifle","four_plus","ung","Bulls","Cows","six_plus","p_success"
2004,"321","all_deer",638,98,63,33,26,72,26,"deer",NA,NA,NA,0.153605015673981
2004,"321","md",638,67,50,15,22,45,19,"deer",NA,NA,NA,NA
2004,"321","wt",638,28,13,14,0,28,7,"deer",NA,NA,NA,NA
2004,"322","all_deer",1257,1164,368,763,56,1108,245,"deer",NA,NA,NA,0.926014319809069
2004,"322","md",1257,144,76,64,7,137,27,"deer",NA,NA,NA,NA
2004,"322","wt",1257,1010,291,690,49,961,216,"deer",NA,NA,NA,NA
2004,"323","all_deer",431,100,54,44,12,88,22,"deer",NA,NA,NA,0.232018561484919
2004,"323","md",431,73,40,34,8,65,10,"deer",NA,NA,NA,NA
2004,"323","wt",431,22,14,6,0,22,13,"deer",NA,NA,NA,NA
2004,"324","all_deer",636,177,102,72,5,172,74,"deer",NA,NA,NA,0.278301886792453
2004,"324","md",636,71,49,23,2,70,27,"deer",NA,NA,NA,NA
2004,"324","wt",636,105,52,49,4,101,46,"deer",NA,NA,NA,NA
2004,"325","all_deer",1259,820,440,373,19,800,198,"deer",NA,NA,NA,0.651310563939635
2004,"325","md",1259,594,340,251,9,585,121,"deer",NA,NA,NA,NA
2004,"325","wt",1259,219,97,118,10,208,76,"deer",NA,NA,NA,NA
2004,"326","all_deer",1045,674,326,334,3,671,146,"deer",NA,NA,NA,0.644976076555024
2004,"326","md",1045,487,248,234,3,484,92,"deer",NA,NA,NA,NA
2004,"326","wt",1045,175,71,96,0,175,47,"deer",NA,NA,NA,NA
2004,"327","all_deer",474,61,53,4,0,61,43,"deer",NA,NA,NA,0.128691983122363
2004,"327","md",474,42,42,0,0,42,33,"deer",NA,NA,NA,NA
2004,"327","wt",474,14,9,4,0,14,9,"deer",NA,NA,NA,NA
2004,"328","all_deer",398,58,45,11,7,50,22,"deer",NA,NA,NA,0.14572864321608
2004,"328","md",398,45,35,10,4,41,12,"deer",NA,NA,NA,NA
2004,"328","wt",398,9,6,1,0,9,6,"deer",NA,NA,NA,NA
2004,"329","all_deer",967,185,124,61,14,171,40,"deer",NA,NA,NA,0.191313340227508
2004,"329","md",967,124,94,30,11,113,24,"deer",NA,NA,NA,NA
2004,"329","wt",967,61,30,31,3,58,16,"deer",NA,NA,NA,NA
2004,"330","all_deer",1035,554,296,244,14,540,169,"deer",NA,NA,NA,0.535265700483092
2004,"330","md",1035,246,154,86,5,241,55,"deer",NA,NA,NA,NA
2004,"330","wt",1035,298,133,157,10,288,111,"deer",NA,NA,NA,NA
2004,"331","all_deer",1658,581,372,190,15,566,118,"deer",NA,NA,NA,0.350422195416164
2004,"331","md",1658,384,290,89,9,375,72,"deer",NA,NA,NA,NA
2004,"331","wt",1658,194,82,101,6,188,47,"deer",NA,NA,NA,NA
