"Year","District","Species","Hunters","Days","N","four_plus","Sex","n_sex","Weapon","n_weapon","ung","six_plus"
2015,"211","md",0,0,19,8,"Does",0,"Rifle",16,"deer",NA
2015,"211","wt",0,0,52,17,"Bucks",43,"Bow",0,"deer",NA
2015,"211","wt",0,0,52,17,"Does",9,"Rifle",52,"deer",NA
2015,"212","all_deer",0,0,608,195,"Bucks",432,"Bow",54,"deer",NA
2015,"212","all_deer",0,0,608,195,"Does",167,"Rifle",548,"deer",NA
2015,"212","md",0,0,265,81,"Bucks",211,"Bow",10,"deer",NA
2015,"212","md",0,0,265,81,"Does",49,"Rifle",252,"deer",NA
2015,"212","wt",0,0,340,114,"Bucks",221,"Bow",44,"deer",NA
2015,"212","wt",0,0,340,114,"Does",118,"Rifle",296,"deer",NA
2015,"213","all_deer",0,0,216,92,"Bucks",171,"Bow",13,"deer",NA
2015,"213","all_deer",0,0,216,92,"Does",43,"Rifle",203,"deer",NA
2015,"213","md",0,0,121,43,"Bucks",98,"Bow",12,"deer",NA
2015,"213","md",0,0,121,43,"Does",22,"Rifle",109,"deer",NA
2015,"213","wt",0,0,96,49,"Bucks",72,"Bow",2,"deer",NA
2015,"213","wt",0,0,96,49,"Does",21,"Rifle",94,"deer",NA
2015,"214","all_deer",0,0,123,59,"Bucks",114,"Bow",10,"deer",NA
2015,"214","all_deer",0,0,123,59,"Does",9,"Rifle",110,"deer",NA
2015,"214","md",0,0,54,21,"Bucks",54,"Bow",10,"deer",NA
2015,"214","md",0,0,54,21,"Does",0,"Rifle",44,"deer",NA
2015,"214","wt",0,0,69,38,"Bucks",60,"Bow",0,"deer",NA
2015,"214","wt",0,0,69,38,"Does",9,"Rifle",66,"deer",NA
2015,"215","all_deer",0,0,393,153,"Bucks",301,"Bow",27,"deer",NA
2015,"215","all_deer",0,0,393,153,"Does",83,"Rifle",366,"deer",NA
2015,"215","md",0,0,164,47,"Bucks",138,"Bow",21,"deer",NA
2015,"215","md",0,0,164,47,"Does",27,"Rifle",143,"deer",NA
2015,"215","wt",0,0,228,106,"Bucks",163,"Bow",6,"deer",NA
2015,"215","wt",0,0,228,106,"Does",56,"Rifle",223,"deer",NA
2015,"216","all_deer",0,0,167,81,"Bucks",152,"Bow",3,"deer",NA
2015,"216","all_deer",0,0,167,81,"Does",12,"Rifle",164,"deer",NA
2015,"216","md",0,0,89,43,"Bucks",86,"Bow",0,"deer",NA
2015,"216","md",0,0,89,43,"Does",0,"Rifle",89,"deer",NA
2015,"216","wt",0,0,78,37,"Bucks",66,"Bow",3,"deer",NA
2015,"216","wt",0,0,78,37,"Does",12,"Rifle",75,"deer",NA
2015,"240","all_deer",0,0,684,268,"Bucks",550,"Bow",71,"deer",NA
2015,"240","all_deer",0,0,684,268,"Does",128,"Rifle",613,"deer",NA
2015,"240","md",0,0,106,35,"Bucks",106,"Bow",3,"deer",NA
2015,"240","md",0,0,106,35,"Does",0,"Rifle",104,"deer",NA
2015,"240","wt",0,0,577,234,"Bucks",443,"Bow",68,"deer",NA
2015,"240","wt",0,0,577,234,"Does",128,"Rifle",509,"deer",NA
2015,"250","all_deer",0,0,88,35,"Bucks",67,"Bow",2,"deer",NA
2015,"250","all_deer",0,0,88,35,"Does",19,"Rifle",87,"deer",NA
2015,"250","md",0,0,21,21,"Bucks",21,"Bow",2,"deer",NA
2015,"250","md",0,0,21,21,"Does",0,"Rifle",19,"deer",NA
2015,"250","wt",0,0,68,14,"Bucks",46,"Bow",0,"deer",NA
2015,"250","wt",0,0,68,14,"Does",19,"Rifle",68,"deer",NA
2015,"260","all_deer",0,0,709,140,"Bucks",201,"Bow",541,"deer",NA
2015,"260","all_deer",0,0,709,140,"Does",502,"Rifle",169,"deer",NA
2015,"260","md",0,0,12,5,"Bucks",8,"Bow",5,"deer",NA
2015,"260","md",0,0,12,5,"Does",4,"Rifle",7,"deer",NA
2015,"260","wt",0,0,698,135,"Bucks",193,"Bow",535,"deer",NA
2015,"260","wt",0,0,698,135,"Does",499,"Rifle",162,"deer",NA
2015,"261","all_deer",0,0,146,77,"Bucks",108,"Bow",25,"deer",NA
2015,"261","all_deer",0,0,146,77,"Does",38,"Rifle",121,"deer",NA
2015,"261","md",0,0,13,12,"Bucks",12,"Bow",3,"deer",NA
2015,"261","md",0,0,13,12,"Does",1,"Rifle",10,"deer",NA
2015,"261","wt",0,0,133,65,"Bucks",97,"Bow",22,"deer",NA
2015,"261","wt",0,0,133,65,"Does",36,"Rifle",111,"deer",NA
2015,"262","all_deer",0,0,371,80,"Bucks",132,"Bow",73,"deer",NA
2015,"262","all_deer",0,0,371,80,"Does",237,"Rifle",296,"deer",NA
2015,"262","md",0,0,62,3,"Bucks",6,"Bow",2,"deer",NA
2015,"262","md",0,0,62,3,"Does",56,"Rifle",60,"deer",NA
2015,"262","wt",0,0,309,77,"Bucks",126,"Bow",71,"deer",NA
2015,"262","wt",0,0,309,77,"Does",181,"Rifle",236,"deer",NA
2015,"270","all_deer",0,0,326,164,"Bucks",263,"Bow",19,"deer",NA
2015,"270","all_deer",0,0,326,164,"Does",58,"Rifle",307,"deer",NA
2015,"270","md",0,0,56,45,"Bucks",56,"Bow",6,"deer",NA
2015,"270","md",0,0,56,45,"Does",0,"Rifle",50,"deer",NA
2015,"270","wt",0,0,270,119,"Bucks",207,"Bow",13,"deer",NA
2015,"270","wt",0,0,270,119,"Does",58,"Rifle",258,"deer",NA
2015,"280","all_deer",0,0,17,6,"Bucks",17,"Bow",0,"deer",NA
2015,"280","all_deer",0,0,17,6,"Does",0,"Rifle",17,"deer",NA
2015,"280","md",0,0,11,3,"Bucks",11,"Bow",0,"deer",NA
2015,"280","md",0,0,11,3,"Does",0,"Rifle",11,"deer",NA
2015,"280","wt",0,0,6,3,"Bucks",6,"Bow",0,"deer",NA
2015,"280","wt",0,0,6,3,"Does",0,"Rifle",6,"deer",NA
2015,"281","all_deer",0,0,371,205,"Bucks",319,"Bow",8,"deer",NA
2015,"281","all_deer",0,0,371,205,"Does",51,"Rifle",363,"deer",NA
2015,"281","md",0,0,56,28,"Bucks",56,"Bow",2,"deer",NA
2015,"281","md",0,0,56,28,"Does",0,"Rifle",54,"deer",NA
2015,"281","wt",0,0,315,176,"Bucks",263,"Bow",6,"deer",NA
2015,"281","wt",0,0,315,176,"Does",51,"Rifle",309,"deer",NA
2015,"282","all_deer",0,0,70,34,"Bucks",52,"Bow",3,"deer",NA
2015,"282","all_deer",0,0,70,34,"Does",18,"Rifle",67,"deer",NA
2015,"282","wt",0,0,70,34,"Bucks",52,"Bow",3,"deer",NA
2015,"282","wt",0,0,70,34,"Does",18,"Rifle",67,"deer",NA
2015,"283","all_deer",0,0,352,147,"Bucks",275,"Bow",37,"deer",NA
2015,"283","all_deer",0,0,352,147,"Does",77,"Rifle",315,"deer",NA
2015,"283","md",0,0,44,15,"Bucks",44,"Bow",2,"deer",NA
2015,"283","md",0,0,44,15,"Does",0,"Rifle",42,"deer",NA
2015,"283","wt",0,0,309,132,"Bucks",232,"Bow",36,"deer",NA
2015,"283","wt",0,0,309,132,"Does",77,"Rifle",273,"deer",NA
2015,"284","all_deer",0,0,72,40,"Bucks",69,"Bow",17,"deer",NA
2015,"284","all_deer",0,0,72,40,"Does",3,"Rifle",54,"deer",NA
2015,"284","md",0,0,14,9,"Bucks",14,"Bow",3,"deer",NA
2015,"284","md",0,0,14,9,"Does",0,"Rifle",11,"deer",NA
2015,"284","wt",0,0,57,32,"Bucks",55,"Bow",14,"deer",NA
2015,"284","wt",0,0,57,32,"Does",3,"Rifle",43,"deer",NA
2015,"285","all_deer",0,0,785,339,"Bucks",643,"Bow",16,"deer",NA
2015,"285","all_deer",0,0,785,339,"Does",134,"Rifle",769,"deer",NA
2015,"285","md",0,0,60,35,"Bucks",60,"Bow",0,"deer",NA
2015,"285","md",0,0,60,35,"Does",0,"Rifle",60,"deer",NA
2015,"285","wt",0,0,725,304,"Bucks",583,"Bow",16,"deer",NA
2015,"285","wt",0,0,725,304,"Does",134,"Rifle",709,"deer",NA
2015,"290","all_deer",0,0,100,34,"Bucks",50,"Bow",48,"deer",NA
2015,"290","all_deer",0,0,100,34,"Does",50,"Rifle",52,"deer",NA
2015,"290","md",0,0,8,1,"Bucks",6,"Bow",1,"deer",NA
2015,"290","md",0,0,8,1,"Does",2,"Rifle",6,"deer",NA
2015,"290","wt",0,0,92,32,"Bucks",44,"Bow",46,"deer",NA
2015,"290","wt",0,0,92,32,"Does",48,"Rifle",46,"deer",NA
2015,"291","all_deer",0,0,103,65,"Bucks",94,"Bow",2,"deer",NA
2015,"291","all_deer",0,0,103,65,"Does",6,"Rifle",98,"deer",NA
2015,"291","md",0,0,57,48,"Bucks",57,"Bow",2,"deer",NA
2015,"291","md",0,0,57,48,"Does",0,"Rifle",53,"deer",NA
2015,"291","wt",0,0,46,17,"Bucks",37,"Bow",0,"deer",NA
2015,"291","wt",0,0,46,17,"Does",6,"Rifle",46,"deer",NA
2015,"292","all_deer",0,0,570,223,"Bucks",510,"Bow",21,"deer",NA
2015,"292","all_deer",0,0,570,223,"Does",58,"Rifle",549,"deer",NA
2015,"292","md",0,0,250,59,"Bucks",247,"Bow",10,"deer",NA
2015,"292","md",0,0,250,59,"Does",3,"Rifle",240,"deer",NA
2015,"292","wt",0,0,321,164,"Bucks",263,"Bow",12,"deer",NA
2015,"292","wt",0,0,321,164,"Does",55,"Rifle",309,"deer",NA
2015,"293","all_deer",0,0,343,117,"Bucks",305,"Bow",23,"deer",NA
2015,"293","all_deer",0,0,343,117,"Does",38,"Rifle",320,"deer",NA
2015,"293","md",0,0,192,46,"Bucks",189,"Bow",17,"deer",NA
2015,"293","md",0,0,192,46,"Does",3,"Rifle",175,"deer",NA
2015,"293","wt",0,0,151,71,"Bucks",116,"Bow",6,"deer",NA
2015,"293","wt",0,0,151,71,"Does",35,"Rifle",146,"deer",NA
2015,"298","all_deer",0,0,77,49,"Bucks",75,"Bow",0,"deer",NA
2015,"298","all_deer",0,0,77,49,"Does",3,"Rifle",77,"deer",NA
2015,"298","md",0,0,20,3,"Bucks",20,"Bow",0,"deer",NA
2015,"298","md",0,0,20,3,"Does",0,"Rifle",20,"deer",NA
2015,"298","wt",0,0,57,46,"Bucks",55,"Bow",0,"deer",NA
2015,"298","wt",0,0,57,46,"Does",3,"Rifle",57,"deer",NA
2015,"300","all_deer",0,0,141,44,"Bucks",89,"Bow",3,"deer",NA
2015,"300","all_deer",0,0,141,44,"Does",50,"Rifle",139,"deer",NA
2015,"300","md",0,0,85,33,"Bucks",66,"Bow",0,"deer",NA
2015,"300","md",0,0,85,33,"Does",16,"Rifle",85,"deer",NA
2015,"300","wt",0,0,56,12,"Bucks",23,"Bow",3,"deer",NA
2015,"300","wt",0,0,56,12,"Does",33,"Rifle",54,"deer",NA
2015,"301","all_deer",0,0,174,95,"Bucks",123,"Bow",20,"deer",NA
2015,"301","all_deer",0,0,174,95,"Does",51,"Rifle",154,"deer",NA
2015,"301","md",0,0,66,40,"Bucks",66,"Bow",6,"deer",NA
2015,"301","md",0,0,66,40,"Does",0,"Rifle",60,"deer",NA
2015,"301","wt",0,0,108,55,"Bucks",57,"Bow",14,"deer",NA
2015,"301","wt",0,0,108,55,"Does",51,"Rifle",94,"deer",NA
2015,"302","all_deer",0,0,204,107,"Bucks",188,"Bow",2,"deer",NA
2015,"302","all_deer",0,0,204,107,"Does",14,"Rifle",202,"deer",NA
2015,"302","md",0,0,176,101,"Bucks",176,"Bow",2,"deer",NA
2015,"302","md",0,0,176,101,"Does",0,"Rifle",174,"deer",NA
2015,"302","wt",0,0,28,6,"Bucks",12,"Bow",0,"deer",NA
2015,"302","wt",0,0,28,6,"Does",14,"Rifle",28,"deer",NA
2015,"309","all_deer",0,0,395,145,"Bucks",170,"Bow",73,"deer",NA
2015,"309","all_deer",0,0,395,145,"Does",209,"Rifle",322,"deer",NA
